reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,en_content
d13b6a48-6980-4fda-81e6-34cf3e673eb2,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,جيد جدا اتمنى لو كان يسمح ببعض بالتدريب على المحادثات لو قليلا في الوضع المجاني، و سيكون من الأفضل توضيح تفاصيل أكثر لشرح أخطاء النطق مثل كيفية النطق الصحيح للحرف في هذه الحالة,3,7,7.8.6,2025-08-05 03:44:40,"Hi beloved learner,
Thanks for your feedback! We understand pricing is important, and we’re always reviewing how we can deliver the best value. While some features are premium, we also offer two free lessons per day, which many users find helpful. Your feedback helps us shape future plans!",2025-08-07 17:54:23,7.8.6,"Very good, I hope that some training in conversations was allowed if a little in the free situation, and it would be better to clarify more details to explain the speech errors such as how the correct pronunciation of the letter in this case"
ef7ea45e-fb55-4b01-9750-ccf709c6493f,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,البرنامج شكله ظريف وحلو، لم اجربه بعد لكن لماذا لايمكنني اختيار مجالي في الدراسة ،عندما اضغط عليه يقول حدث خطأ ما ،أرجو التوضيح اين المشكلة.,5,0,7.9.5,2025-09-30 13:02:58,نشكرك على تقييمك الإيجابي، سنقوم بتمرير ملاحظتك حول مشكلة اختيار مجال الدراسة إلى الفريق المعني للنظر فيها.,2025-09-30 13:20:28,7.9.5,"The program is its form and sweet, I have not tried it yet, but why can I not choose my field in the study, when I click on it says something wrong, please clarify where the problem is."
573c0421-909c-42a1-9f67-557966c5f3f5,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,أفضل تطبيق لتعلم اللغة الإنجليزية، النطق و تحدث اللغة بشكل سريع، انصح الجميع بتحميل التطبيق❤❤❤❤✨، لكن اتمنى جعل دروس المجانية اكثر🤍🥺,5,72,7.8.7,2025-08-20 15:38:29,شكراً جزيلاً على تقييمك الإيجابي! سنقوم بتقديم ذلك الاقتراح لفريقنا للنظر فيه. متمنين لك التقدم في تعلم اللغة الإنجليزية! 🌟📚,2025-08-20 16:20:17,7.8.7,"The best application to learn English, pronunciation and spoke quickly, I advise everyone to download the application"
2a866f0c-52f3-4882-a95a-8e218bf1879c,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,برنامج سيئ و ثقيل جدا على الجوال و واجهة التطبيق لا تحتوي على اللغة العربية مسخرة كيف تطبيق لغات لا تحتوي واجهته على اللغة العربية,1,8,7.8.4,2025-07-26 20:17:04,"Hi beloved learner,
Thank you for suggesting this! We’ve shared it with our product team. While we can’t guarantee a timeline, we’re always listening to our users when planning improvements.",2025-08-07 18:02:20,7.8.4,A bad and very heavy program on the mobile and the interface of the application does not contain the Arabic language.
8ce3a8cf-4d21-4f85-b336-82d77003cf81,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,لماذا تغلق الشاشة فجأة و لماذا ضعيف في الإستماع لصوتي ، اعتقد ان التطبيق يحتاج الي مراجعة في مستويات الأمان اشعر ان التطبيق غير آمن,1,0,7.9.0,2025-09-03 13:22:18,"Thanks for bringing this to our attention! If you're experiencing audio or recording issues, please ensure you’ve updated to the latest version and have a stable internet connection. If the problem persists, don’t hesitate to contact us via support@elsannow.io or the live chat at elsaspeak.com/en/contact/ so we can look into it further.",2025-09-04 15:07:30,7.9.0,"Why the screen suddenly closes and why he is weak in listening to my voice, I think the application needs a review of safety levels? I feel that the application is not safe"
c88a2925-6c48-4e5c-80a3-cdb59ef45689,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,برنامجك هذا للذي يتكلم الإنكليزي بطلاقه وليس للتعلم .. تم المسح,1,0,7.9.5,2025-09-27 00:15:56,,,7.9.5,"Your program is for the one who speaks the Englishman with its divorce, not to learn .."
969b33c7-4425-4060-a556-eaca110e56ba,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,البرنامج رائع جدا ( يطلب مجالك اللي تريد أن تتقوى فيه والصوتيات تختار انت اللي تريده ويعطيك متعة التعلم ويحفزك في الاستمرار إلى الأفضل بأذن الله تعالى 🤍),5,79,7.8.3,2025-07-08 02:59:12,شكراً لك على تقييمك الإيجابي! نحن سعداء لمعرفة أنك تستمتع بتجربتك في التعلم مع تطبيقنا. نتطلع لمساعدتك في التقدم والاستمرار نحو تحقيق أهدافك بإذن الله.,2025-07-08 03:35:32,7.8.3,Program
9a546b28-5625-46b9-a0e5-c2ded8ca9847,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,التطبيق غير مجاني وهذا خداع يمكننا تعلم الإنجليزية من منصات أخرى,1,1,7.9.4,2025-09-15 23:06:10,,,7.9.4,The app is not free and this is a deception. We can learn English from other platforms
ff7819fa-f6b4-456a-be99-ef1f347fda65,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ليست جيده ولاانصح به لايوجد تأسيس للغه الانجليزيه ولايوجد المساعد العربي وغير مفيد للصغار,1,0,7.8.6,2025-07-30 04:25:15,مرحباً عزيزي المتعلم، يؤسفنا سماع أنك غير راضٍ عن ELSA. نرجو منك ترك رسالة لنا عبر support@elsanow.io أو خدمة الدعم المباشر على https://elsaspeak.com/en/contact/، وسننظر في الأمر في أقرب وقت ممكن!,2025-07-31 15:29:59,7.8.6,It is not good and I do not recommend it. There is no establishment of the English language and there is no Arab assistant and not beneficial to the children
5917afbb-d455-4a09-b6ae-ec04c3e51752,مستخدم Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,التطبيق رائع لكن لا يجود لغه عربيه الرجاء توفيرها,5,7,7.8.7,2025-08-18 20:45:52,شكرًا لتقييمك الإيجابي! نقدّر اقتراحك بشأن إضافة اللغة العربية وسنعمل على توفيرها في التحديثات القادمة.,2025-08-18 20:50:14,7.8.7,"The application is great, but it does not find Arabic language, please provide it"
