level_0,index,content,score,clean_content,minimal_content,en_content,lang,lang_prob
30533,53249,,3,"Very good, I hope that some training in conversations was allowed if a little in the free situation, and it would be better to clarify more details to explain the speech errors such as how the correct pronunciation of the letter in this case","very good, i hope that some training in conversation be allow if a little in the free situation, and it would be good to clarify more detail to explain the speech error such as how the correct pronunciation of the letter in this case","Very good, I hope that some training in conversations was allowed if a little in the free situation, and it would be better to clarify more details to explain the speech errors such as how the correct pronunciation of the letter in this case",en,0.9501418471336365
30534,53250,,5,"The program is its form and sweet, I have not tried it yet, but why can I not choose my field in the study, when I click on it says something wrong, please clarify where the problem is.","the program be it be form and sweet, i have not try it yet, but why can i not choose my field in the study, when i click on it say something wrong, please clarify where the problem is.","The program is its form and sweet, I have not tried it yet, but why can I not choose my field in the study, when I click on it says something wrong, please clarify where the problem is.",en,0.9273110628128052
30535,53251,,5,"The best application to learn English, pronunciation and spoke quickly, I advise everyone to download the application","the best application to learn english, pronunciation and speak quickly, i advise everyone to download the application","The best application to learn English, pronunciation and spoke quickly, I advise everyone to download the application",en,0.9316734671592712
30536,53252,,1,A bad and very heavy program on the mobile and the interface of the application does not contain the Arabic language.,a bad and very heavy program on the mobile and the interface of the application do not contain the arabic language.,A bad and very heavy program on the mobile and the interface of the application does not contain the Arabic language.,en,0.8921987414360046
30537,53253,,1,"Why the screen suddenly closes and why he is weak in listening to my voice, I think the application needs a review of safety levels? I feel that the application is not safe","why the screen suddenly close and why he be weak in listen to my voice, i think the application need a review of safety levels? i feel that the application be not safe","Why the screen suddenly closes and why he is weak in listening to my voice, I think the application needs a review of safety levels? I feel that the application is not safe",en,0.950431227684021
30538,53254,,1,"Your program is for the one who speaks the Englishman with its divorce, not to learn ..","your program be for the one who speak the englishman with it be divorce, not to learn.","Your program is for the one who speaks the Englishman with its divorce, not to learn ..",en,0.9330469965934753
30539,53255,,5,Program,program,Program,en,0.8408110737800598
30540,53256,,1,The app is not free and this is a deception. We can learn English from other platforms,the app be not free and this be a deception. we can learn english from other platform,The app is not free and this is a deception. We can learn English from other platforms,en,0.8652938008308411
30541,53257,,1,It is not good and I do not recommend it. There is no establishment of the English language and there is no Arab assistant and not beneficial to the children,it be not good and i do not recommend it. there be no establishment of the english language and there be no arab assistant and not beneficial to the child,It is not good and I do not recommend it. There is no establishment of the English language and there is no Arab assistant and not beneficial to the children,en,0.926950991153717
30542,53258,,5,"The application is great, but it does not find Arabic language, please provide it","the application be great, but it do not find arabic language, please provide it","The application is great, but it does not find Arabic language, please provide it",en,0.8710594177246094
30543,53259,,1,Vry back no free I advise not to download it unfortunately not free and ask you a lot.,vry back no free i advise not to download it unfortunately not free and ask you a lot.,Vry back no free I advise not to download it unfortunately not free and ask you a lot.,en,0.9152753353118896
30544,53260,,5,An interesting program that studies you according to the path you choose according to a specific study plan,an interesting program that study you accord to the path you choose accord to a specific study plan,An interesting program that studies you according to the path you choose according to a specific study plan,en,0.9295945763587952
30545,53261,,4,"The best application than wonderful, I loved the splendor of my love, but if it is for free, it will be the best application that teaches the language in the world or the universe in general I loved it 💗 💗","the best application than wonderful, i love the splendor of my love, but if it be for free, it will be the best application that teach the language in the world or the universe in general i love it 💗 💗","The best application than wonderful, I loved the splendor of my love, but if it is for free, it will be the best application that teaches the language in the world or the universe in general I loved it 💗💗",en,0.7935248613357544
30546,53262,,4,"The app is really cool, but it is preferable to subscribe to it ....","the app be really cool, but it be preferable to subscribe to it.","The app is really cool, but it is preferable to subscribe to it ....",en,0.9799299240112305
30547,53263,,1,"A very monster application is not worth it or a star, even every need is closed with a subscription and also works in Net. I do not recommend downloading this application","a very monster application be not worth it or a star, even every need be close with a subscription and also work in net. i do not recommend download this application","A very monster application is not worth it or a star, even every need is closed with a subscription and also works in Net. I do not recommend downloading this application",en,0.9433854818344116
30548,53264,,4,"Unfortunately, a universal and beautiful application, but not free, and free things are almost remembered and not much influencing","unfortunately, a universal and beautiful application, but not free, and free thing be almost remember and not much influencing","Unfortunately, a universal and beautiful application, but not free, and free things are almost remembered and not much influencing",en,0.9140630960464478
30549,53265,,5,The app is an excellent time. Help me learn English quickly and easily,the app be an excellent time. help me learn english quickly and easily,The app is an excellent time. Help me learn English quickly and easily,en,0.9394428730010986
30550,53266,,5,"A distinctive application, but unfortunately, paid and a simple free part","a distinctive application, but unfortunately, paid and a simple free part","A distinctive application, but unfortunately, paid and a simple free part",en,0.9154027700424194
30551,53267,,5,The best application to learn to speak ❤ ❤ 💖,the best application to learn to speak ❤ ❤ 💖,The best application to learn to speak ❤❤💖,en,0.9752103686332703
30552,53268,,4,I hope to add a free version without specification,i hope to add a free version without specification,I hope to add a free version without specification,en,0.6578537225723267
30553,53269,,5,Excellent to improve speech,excellent to improve speech,Excellent to improve speech,en,0.9155794382095337
30554,53270,,2,Why does it open with me why. The robot appears to me and what opens how to open it,why do it open with me why. the robot appear to me and what open how to open it,Why does it open with me why. The robot appears to me and what opens how to open it,en,0.9399373531341553
