level_0,index,content,score,clean_content,minimal_content,en_content,lang,lang_prob
32648,57597,,3,"The voice recognition please fix it. It is correct and the same as the original narration, the results are still wrong. One of the Error English Application","the voice recognition please fix it. it be correct and the same as the original narration, the result be still wrong. one of the error english application","The voice recognition please fix it. It is correct and the same as the original narration, the results are still wrong. One of the Error English Application",en,0.9355131983757019
32649,57598,,1,"If you only ask me to subscribe to this APK, please confirm with related parties because I have a very expensive cost of 969000 for almost one million for this APK so please go back my money plis","if you only ask me to subscribe to this apk, please confirm with related party because i have a very expensive cost of 969000 for almost one million for this apk so please go back my money plis","If you only ask me to subscribe to this APK, please confirm with related parties because I have a very expensive cost of 969000 for almost one million for this APK so please go back my money plisss",en,0.9428595304489136
32650,57599,,2,"I just downloaded this application because it was recommended that this application was good for improving my english. I just learned until Lesson 2, when I wanted to go to 3, I had to premium and I couldn't play anything else, in my opinion, it was too much because I really didn't have to download it until 10 minutes, I can't play it, there are those who can give tips not afraid that I don't know why, or really the application is too much","i just download this application because it be recommend that this application be good for improve my english. i just learn until lesson 2, when i want to go to 3, i have to premium and i could not play anything else, in my opinion, it be too much because i really do not have to download it until 10 minutes, i cannot play it, there be those who can give tip not afraid that i do not know why, or really the application be too much","I just downloaded this application because it was recommended that this application was good for improving my english. I just learned until Lesson 2, when I wanted to go to 3, I had to premium and I couldn't play anything else, in my opinion, it was too much because I really didn't have to download it until 10 minutes, I can't play it, there are those who can give tips not afraid that I don't know why, or really the application is too much",en,0.9652780294418335
32651,57600,,1,"I paid the Elsa Pro 1 year package on the 7th through M-Banking payments, but to this day I have not received 3 days after the service payment has not been received. I have contacted support via (email and chat), but there is no response at all","i pay the elsa pro 1 year package on the 7th through m-banking payments, but to this day i have not receive 3 day after the service payment have not be received. i have contact support via email and chat , but there be no response at all","I paid the Elsa Pro 1 year package on the 7th through M-Banking payments, but to this day I have not received 3 days after the service payment has not been received. I have contacted support via (email and chat), but there is no response at all",en,0.9695384502410889
32652,57601,,1,"a little disappointed, every time I play why you keep on, even though my device is good, but why every time you learn 5 minutes, you keep on, please please fix this bug","a little disappointed, every time i play why you keep on, even though my device be good, but why every time you learn 5 minutes, you keep on, please please fix this bug","a little disappointed, every time I play why you keep on, even though my device is good, but why every time you learn 5 minutes, you keep on, please please fix this bug",en,0.9499488472938538
32653,57602,,5,"Overall good, a good application to support learning English both speaking and reading suitable for beginners and intermediates.","overall good, a good application to support learn english both speaking and reading suitable for beginner and intermediates.","Overall good, a good application to support learning English both speaking and reading suitable for beginners and intermediates.",en,0.9552288055419922
32654,57603,,2,"This is severe, the night after subscribing to a premium, in the afternoon I want to open the application to cook loading and the canal, can't be accessed ... please fix it immediately ..","this be severe, the night after subscribe to a premium, in the afternoon i want to open the application to cook loading and the canal, cannot be accessed. please fix it immediately.","This is severe, the night after subscribing to a premium, in the afternoon I want to open the application to cook loading and the canal, can't be accessed ... please fix it immediately ..",en,0.9364765286445618
32655,57604,,3,"good for training pronunciation, but the apk often does not respond, often lag","good for train pronunciation, but the apk often do not respond, often lag","good for training pronunciation, but the apk often does not respond, often lag",en,0.947104811668396
32656,57605,,4,good application for learning English. Only sometimes the AI ​​is a bit nagged (repeating a few fragments),good application for learn english. only sometimes the ai be a bit nagged repeat a few fragment,good application for learning English. Only sometimes the AI ​​is a bit nagged (repeating a few fragments),en,0.9010257720947266
32657,57606,,1,"The application is good just to make a cellphone slag, and can't be used. Lag severe even though 4GB of RAM space 70GB","the application be good just to make a cellphone slag, and cannot be used. lag severe even though 4gb of ram space 70gb","The application is good just to make a cellphone slag, and can't be used. Lag severe even though 4GB of RAM space 70GB",en,0.8797429800033569
