index,content,score,clean_content,minimal_content,lang,lang_prob,en_content,star_sentiment,vader_sentiment,vader_score,roberta_sentiment,roberta_confidence,roberta_conf_neg,roberta_conf_neu,roberta_conf_pos
30533,,3,"The voice recognition please fix it. It is correct and the same as the original narration, the results are still wrong. One of the Error English Application","the voice recognition please fix it. it be correct and the same as the original narration, the result be still wrong. one of the error english application",en,0.935513198375702,"The voice recognition please fix it. It is correct and the same as the original narration, the results are still wrong. One of the Error English Application",neutral,negative,-0.296,negative,0.811673,0.811673,0.17646891,0.011858097
30534,,1,"If you only ask me to subscribe to this APK, please confirm with related parties because I have a very expensive cost of 969000 for almost one million for this APK so please go back my money plis","if you only ask me to subscribe to this apk, please confirm with related party because i have a very expensive cost of 969000 for almost one million for this apk so please go back my money plis",en,0.9428595304489136,"If you only ask me to subscribe to this APK, please confirm with related parties because I have a very expensive cost of 969000 for almost one million for this APK so please go back my money plisss",negative,positive,0.743,negative,0.6417625,0.6417625,0.32961613,0.02862134
30535,,2,"I just downloaded this application because it was recommended that this application was good for improving my english. I just learned until Lesson 2, when I wanted to go to 3, I had to premium and I couldn't play anything else, in my opinion, it was too much because I really didn't have to download it until 10 minutes, I can't play it, there are those who can give tips not afraid that I don't know why, or really the application is too much","i just download this application because it be recommend that this application be good for improve my english. i just learn until lesson 2, when i want to go to 3, i have to premium and i could not play anything else, in my opinion, it be too much because i really do not have to download it until 10 minutes, i cannot play it, there be those who can give tip not afraid that i do not know why, or really the application be too much",en,0.9652780294418336,"I just downloaded this application because it was recommended that this application was good for improving my english. I just learned until Lesson 2, when I wanted to go to 3, I had to premium and I couldn't play anything else, in my opinion, it was too much because I really didn't have to download it until 10 minutes, I can't play it, there are those who can give tips not afraid that I don't know why, or really the application is too much",negative,positive,0.6734,neutral,0.44425726,0.24618267,0.44425726,0.30956
30536,,1,"I paid the Elsa Pro 1 year package on the 7th through M-Banking payments, but to this day I have not received 3 days after the service payment has not been received. I have contacted support via (email and chat), but there is no response at all","i pay the elsa pro 1 year package on the 7th through m-banking payments, but to this day i have not receive 3 day after the service payment have not be received. i have contact support via email and chat , but there be no response at all",en,0.9695384502410888,"I paid the Elsa Pro 1 year package on the 7th through M-Banking payments, but to this day I have not received 3 days after the service payment has not been received. I have contacted support via (email and chat), but there is no response at all",negative,neutral,0.1406,negative,0.81360304,0.81360304,0.17607598,0.010320946
30537,,1,"a little disappointed, every time I play why you keep on, even though my device is good, but why every time you learn 5 minutes, you keep on, please please fix this bug","a little disappointed, every time i play why you keep on, even though my device be good, but why every time you learn 5 minutes, you keep on, please please fix this bug",en,0.9499488472938538,"a little disappointed, every time I play why you keep on, even though my device is good, but why every time you learn 5 minutes, you keep on, please please fix this bug",negative,positive,0.7681,negative,0.9132733,0.9132733,0.07686441,0.009862255
30538,,5,"Overall good, a good application to support learning English both speaking and reading suitable for beginners and intermediates.","overall good, a good application to support learn english both speaking and reading suitable for beginner and intermediates.",en,0.9552288055419922,"Overall good, a good application to support learning English both speaking and reading suitable for beginners and intermediates.",positive,positive,0.8176,positive,0.95806575,0.003361307,0.03857293,0.95806575
30539,,2,"This is severe, the night after subscribing to a premium, in the afternoon I want to open the application to cook loading and the canal, can't be accessed ... please fix it immediately ..","this be severe, the night after subscribe to a premium, in the afternoon i want to open the application to cook loading and the canal, cannot be accessed. please fix it immediately.",en,0.9364765286445618,"This is severe, the night after subscribing to a premium, in the afternoon I want to open the application to cook loading and the canal, can't be accessed ... please fix it immediately ..",negative,negative,-0.5043,negative,0.8123179,0.8123179,0.17610507,0.011577052
30540,,3,"good for training pronunciation, but the apk often does not respond, often lag","good for train pronunciation, but the apk often do not respond, often lag",en,0.947104811668396,"good for training pronunciation, but the apk often does not respond, often lag",neutral,positive,0.5429,negative,0.69656605,0.69656605,0.2844223,0.01901167
30541,,4,good application for learning English. Only sometimes the AI ​​is a bit nagged (repeating a few fragments),good application for learn english. only sometimes the ai be a bit nagged repeat a few fragment,en,0.9010257720947266,good application for learning English. Only sometimes the AI ​​is a bit nagged (repeating a few fragments),neutral,neutral,0.0516,neutral,0.35704523,0.049142443,0.35704523,0.5938123
30542,,1,"The application is good just to make a cellphone slag, and can't be used. Lag severe even though 4GB of RAM space 70GB","the application be good just to make a cellphone slag, and cannot be used. lag severe even though 4gb of ram space 70gb",en,0.8797429800033569,"The application is good just to make a cellphone slag, and can't be used. Lag severe even though 4GB of RAM space 70GB",negative,positive,0.3261,negative,0.8721459,0.8721459,0.113645874,0.014208303
30543,,4,"There is no translate to the Indonesian language, all English, don't understand, the application is more to strengthen how to pronounce English","there be no translate to the indonesian language, all english, do not understand, the application be more to strengthen how to pronounce english",en,0.7776191830635071,"There is no translate to the Indonesian language, all English, don't understand, the application is more to strengthen how to pronounce English",neutral,neutral,0.0972,negative,0.8237369,0.8237369,0.16393435,0.012328728
30544,,4,The overall review is good starting from the material and practice. For now I haven't found something wrong. maybe I'll correct again later,the overall review be good start from the material and practice. for now i have not find something wrong. maybe i will correct again later,en,0.9749869108200072,The overall review is good starting from the material and practice. For now I haven't found something wrong. maybe I'll correct again later,neutral,positive,0.6656,neutral,0.34990558,0.030498415,0.34990558,0.61959606
30545,,1,for the part of the pronunciation material is very difficult to have repeatedly tried to keep the function of the bad feature,for the part of the pronunciation material be very difficult to have repeatedly try to keep the function of the bad feature,en,0.9658267498016356,for the part of the pronunciation material is very difficult to have repeatedly tried to keep the function of the bad feature,negative,negative,-0.7425,negative,0.62810594,0.62810594,0.3486039,0.023290122
30546,,5,"I like this application. I think my English is good, it turns out that my pronunciation is still 70% true, hahaha.","i like this application. i think my english be good, it turn out that my pronunciation be still 70% true, hahaha.",en,0.8694030046463013,"I like this application. I think my English is good, it turns out that my pronunciation is still 70% true, hahaha.",positive,positive,0.8957,positive,0.97902876,0.004533837,0.016437447,0.97902876
30547,,4,good for increasing language even though it is still lacking instructions at the beginning,good for increase language even though it be still lacking instruction at the beginning,en,0.934839367866516,good for increasing language even though it is still lacking instructions at the beginning,neutral,positive,0.6369,neutral,0.5707314,0.106762946,0.5707314,0.32250562
30548,,5,a good app for learning British B immediately give help so that we improve,a good app for learn british b immediately give help so that we improve,en,0.9476195573806764,a good app for learning British B immediately give help so that we improve,positive,positive,0.83,positive,0.80684143,0.012560168,0.18059833,0.80684143
30549,,5,"Good, I hope I can speak English smoothly with the help of the INK application","good, i hope i can speak english smoothly with the help of the ink application",en,0.9446719288825988,"Good, I hope I can speak English smoothly with the help of the INK application",positive,positive,0.8176,positive,0.875649,0.009315961,0.11503506,0.875649
30550,,5,I am very helped to learn English further,i be very help to learn english far,en,0.946063220500946,I am very helped to learn English further,positive,positive,0.4576,positive,0.78045166,0.01405877,0.20548959,0.78045166
30551,,3,"Actually it is very good, but unfortunately premium costs are too expensive, so in my opinion for people who really want to learn English well but do not have money can use this application if it is cheaper (better free)","actually it be very good, but unfortunately premium cost be too expensive, so in my opinion for people who really want to learn english well but do not have money can use this application if it be cheap well free",en,0.96858811378479,"Actually it is very good, but unfortunately premium costs are too expensive, so in my opinion for people who really want to learn English well but do not have money can use this application if it is cheaper (better free)",neutral,positive,0.8497,neutral,0.38935754,0.16513807,0.38935754,0.44550434
30552,,5,crazy apk is good and really helps for those of you who want to learn English just download this apk,crazy apk be good and really help for those of you who want to learn english just download this apk,en,0.9734863638877868,crazy apk is good and really helps for those of you who want to learn English just download this apk,positive,positive,0.5849,positive,0.9369232,0.004006462,0.059070297,0.9369232
30553,,5,very helpful for speaking in an era that is now more concerned with playing than learning :),very helpful for speak in an era that be now more concerned with play than learn,en,0.990883767604828,very helpful for speaking in an era that is now more concerned with playing than learning :),positive,positive,0.6962,neutral,0.50411546,0.11580058,0.50411546,0.380084
30554,,1,bad application. Do you have to premium all? You can't have to be premium. Everything can't open.,bad application. do you have to premium all? you cannot have to be premium. everything cannot open.,en,0.9628615975379944,bad application. Do you have to premium all? You can't have to be premium. Everything can't open.,negative,negative,-0.5423,negative,0.9266341,0.9266341,0.06716205,0.0062038447
30555,,5,"I just upgraded my application to premium, I hope this application helps me learn English well 🤗 🥰","i just upgrade my application to premium, i hope this application help me learn english well 🤗 🥰",en,0.9350923299789428,"I just upgraded my application to premium, I hope this application helps me learn English well 🤗🥰",positive,positive,0.7717,positive,0.98121315,0.0017323768,0.017054481,0.98121315
30556,,5,"I just downloaded it, hopefully I will be helped to be able to learn English smoothly.","i just download it, hopefully i will be help to be able to learn english smoothly.",en,0.9534339904785156,"I just downloaded it, hopefully I will be helped to be able to learn English smoothly.",positive,positive,0.6597,positive,0.83984905,0.005833053,0.15431789,0.83984905
30557,,5,Really helps to increase pronunciation and speaking skills,really help to increase pronunciation and speaking skill,en,0.9639214277267456,Really helps to increase pronunciation and speaking skills,positive,positive,0.6764,positive,0.7903681,0.015491584,0.19414034,0.7903681
30558,,5,good application for increasing English skills,good application for increase english skill,en,0.859719455242157,good application for increasing English skills,positive,positive,0.6369,positive,0.8347523,0.011494961,0.15375271,0.8347523
30559,,4,The application is actually good. just often like slow ..,the application be actually good. just often like slow.,en,0.984792411327362,The application is actually good. just often like slow ..,neutral,positive,0.6597,positive,0.7653079,0.03078945,0.20390262,0.7653079
30560,,1,"I can't play this application again because I have to premium all the features, you have to premium you can only play around 5-10 lessons if you can't play anymore, you have to premium anyway","i cannot play this application again because i have to premium all the features, you have to premium you can only play around 5-10 lesson if you cannot play anymore, you have to premium anyway",en,0.9670760035514832,"I can't play this application again because I have to premium all the features, you have to premium you can only play around 5-10 lessons if you can't play anymore, you have to premium anyway",negative,negative,-0.6259,negative,0.8003788,0.8003788,0.1839947,0.015626522
30561,,1,"I accidentally subscribed and immediately asked for a refund but was not approved alias there was no refund. even though in other applications can !! Please repair the system in the future because it is very detrimental to users who are still lay, can be very trapping !!","i accidentally subscribe and immediately ask for a refund but be not approve alias there be no refund. even though in other application can! please repair the system in the future because it be very detrimental to user who be still lay, can be very trapping!",en,0.9388152360916138,"I accidentally subscribed and immediately asked for a refund but was not approved alias there was no refund. even though in other applications can !! Please repair the system in the future because it is very detrimental to users who are still lay, can be very trapping !!",negative,negative,-0.281,negative,0.88111305,0.88111305,0.11075812,0.008128802
30562,,2,"Receipts of speakers for really awesome speech, even though using other applications that are both for learning can capture my pronunciation without awesome. Seriously feel like a loss like that already subscribed. sob","receipt of speaker for really awesome speech, even though use other application that be both for learning can capture my pronunciation without awesome. seriously feel like a loss like that already subscribed. sob",en,0.9670754075050354,"Receipts of speakers for really awesome speech, even though using other applications that are both for learning can capture my pronunciation without awesome. Seriously feel like a loss like that already subscribed. sob",negative,positive,0.9002,negative,0.68767166,0.68767166,0.21287362,0.09945473
30563,,2,"I bought a pro -year -old subscription before the APK was upgraded but after I was upgraded my subscription was even lost and was told to buy it again, the next bill was the 22nd Feb 2026 and was still connected to my email. Means that my subscription is lost GJLS. please, how do I have a loss","i buy a pro -year -old subscription before the apk be upgrade but after i be upgraded my subscription be even lose and be tell to buy it again, the next bill be the 22nd feb 2026 and be still connect to my email. mean that my subscription be lose gjls. please, how do i have a loss",en,0.9598255157470704,"I bought a pro -year -old subscription before the APK was upgraded but after I was upgraded my subscription was even lost and was told to buy it again, the next bill was the 22nd Feb 2026 and was still connected to my email. Means that my subscription is lost GJLS. please, how do I have a loss",negative,negative,-0.7964,negative,0.76899344,0.76899344,0.21809459,0.012912011
30564,,1,"Decreased quality of content and features. Now there are no games, video tutorials, specific capability improvement menus and so on, a lot of content and features are eliminated. Elsa is now only a topic, daily training, chat and content and features are few.","decreased quality of content and features. now there be no games, video tutorials, specific capability improvement menu and so on, a lot of content and feature be eliminated. elsa be now only a topic, daily training, chat and content and feature be few.",en,0.8868988752365112,"Decreased quality of content and features. Now there are no games, video tutorials, specific capability improvement menus and so on, a lot of content and features are eliminated. Elsa is now only a topic, daily training, chat and content and features are few.",negative,neutral,0.2023,negative,0.8076156,0.8076156,0.18054451,0.011839957
30565,,5,good application for beginners and intermediates ..,good application for beginner and intermediates.,en,0.8831059336662292,good application for beginners and intermediates ..,positive,positive,0.4404,positive,0.9194823,0.0074797166,0.073038,0.9194823
