score,clean_content,minimal_content,roberta_sentiment
1,"I have a continuous problem! Do not recognize the voice, load slowly, feedback over 3 times still not fixed, removed again! The software has a response button to receive a voice! I also responded continuously! Sdzai ... selling products that the service is lost!","i have a continuous problem! do not recognize the voice, load slowly, feedback over 3 time still not fixed, remove again! the software have a response button to receive a voice! i also respond continuously! sdzai. selling product that the service be lost!",negative
3,Read new to eat,read new to eat,neutral
5,Learn very good pronunciation. Identify errors and self -correct details for learners.,learn very good pronunciation. identify error and self -correct detail for learners.,positive
1,I did not like the application because there is no explanation of the English language,i do not like the application because there be no explanation of the english language,negative
5,Make it easier to study English,make it easy to study english,neutral
5,"It's a very bad App. The personalized plan doesn't open anymore. Just keep loading, when I chose other lessons it works, but the personalized doesn't loading at all. I'm really upset.","it be a very bad app. the personalized plan do not open anymore. just keep loading, when i choose other lesson it works, but the personalized do not load at all. i be really upset.",negative
4,Also but very expensive money my account,also but very expensive money my account,negative
2,"Plis initially this app is really good, already 3 months suddenly the error can't calculate the score even though working on the problem is that it will run smoothly, the signal is good, it is the turn of the score, it doesn't even get anything.","plis initially this app be really good, already 3 month suddenly the error cannot calculate the score even though work on the problem be that it will run smoothly, the signal be good, it be the turn of the score, it do not even get anything.",negative
1,"Horrible. I subscribed to the one year program because I was quite fascinated with this app. An AI that could detect human pronunciation. However, It was too good to be true as the saying goes. Because it's so slow at detecting speech. It cannot detect more than 1word most of the time. I have to hold my phone so close to my mouth and shout at the top of my lungs to get at least sound like 60 per cent like a native speaker. Plus,I have some serious doubts about the pronunciation of certain words","horrible. i subscribe to the one year program because i be quite fascinate with this app. an ai that could detect human pronunciation. however, it be too good to be true as the say goes. because it be so slow at detect speech. it cannot detect more than 1word most of the time. i have to hold my phone so close to my mouth and shout at the top of my lung to get at least sound like 60 per cent like a native speaker. plus, i have some serious doubt about the pronunciation of certain word",negative
5,Check and handle possible situations.,check and handle possible situations.,neutral
5,practical,practical,neutral
2,Institently the capital spends money to buy the Pro package but has a new high -end package to access some other features: v,institently the capital spend money to buy the pro package but have a new high -end package to access some other feature v,neutral
5,it helps,it help,neutral
5,Very good application is very helpful hope to have more versions,very good application be very helpful hope to have more version,positive
4,"Hello, I enjoying the app so far, but have you ever tried to put british english instead of american? Pls if you have an option to change to british English i will be happy :). Thanks you Pd: i have just read other rewies asking the same, and i understand. Could you tell me if you have a blog or something like his where i be informeted if you decide to add british english? :) ♡","hello, i enjoy the app so far, but have you ever try to put british english instead of american? pls if you have an option to change to british english i will be happy . thanks you pd i have just read other rewies ask the same, and i understand. could you tell me if you have a blog or something like his where i be informeted if you decide to add british english? ♡",positive
4,It is quite good but it takes money to learn to learn.,it be quite good but it take money to learn to learn.,neutral
1,"why doesn't this app acknowledge that british accent exists? i make ""mistakes"" by not pronouncing the hard Rs.","why do not this app acknowledge that british accent exists? i make ""mistakes"" by not pronounce the hard rs.",negative
2,It won't recognizer ur voice properly. Worst app,it will not recognizer ur voice properly. bad app,negative
2,"The native people cannot pass the sound practice? How can the learner like me do it? We learn to use in real life, no one speak like the software request in the actual situation. Software creators are perfectionists. A native speaker with slightly harsh accent will never get past a single sentence in this software.","the native people cannot pass the sound practice? how can the learner like me do it? we learn to use in real life, no one speak like the software request in the actual situation. software creator be perfectionists. a native speaker with slightly harsh accent will never get past a single sentence in this software.",negative
5,Acc helps improve his English proficiency,acc help improve his english proficiency,neutral
1,Very bad app did not open with7 days free trail.,very bad app do not open with7 day free trail.,negative
5,Awesome App for learning English & Everything.,awesome app for learn english & everything.,positive
5,extremely good. it helps me to improve my speaking ability.,extremely good. it help me to improve my speaking ability.,positive
1,"Why did I buy goods for the IELT Band 7 package for a lifetime, but when I left it for a long time, I disappeared?","why do i buy good for the ielt band 7 package for a lifetime, but when i leave it for a long time, i disappeared?",negative
1,"Worst app, not even giving one free course, to see how it works","worst app, not even give one free course, to see how it work",negative
5,Animal zi,animal zi,neutral
5,Learn English with this app super peak,learn english with this app super peak,neutral
1,Such a exhausted app 😔 I speak thousands time and all the time in responsd I see else cannot understand what you speak... 😡 😡 😡,such a exhausted app 😔 i speak thousand time and all the time in responsd i see else cannot understand what you speak. 😡 😡 😡,negative
1,Criticize,criticize,neutral
3,The iOS version has a vocabulary that does not have Android?,the ios version have a vocabulary that do not have android?,neutral
1,"I bought an account for a lifetime, but in recent months, I have not logged in recently, I lost my account, I had taken an email before logging in the last time about 6 months ago (still using BTH) and sent an email, Elsa said that this email has never bought Pro package.","i buy an account for a lifetime, but in recent months, i have not log in recently, i lose my account, i have take an email before log in the last time about 6 month ago still use bth and send an email, elsa say that this email have never buy pro package.",negative
5,Good system of practise,good system of practise,neutral
5,really good helping me learn English,really good help me learn english,positive
1,"it's only for paid , only 2 lessons each day for free which is really disappointing","it be only for paid, only 2 lesson each day for free which be really disappointing",negative
5,Ha 💓 💓 I advise everyone who wants to learn the English language to download it,ha 💓 💓 i advise everyone who want to learn the english language to download it,positive
5,Place win give me iPhone,place win give me iphone,neutral
3,It's good but it would be better if you make it for free because I'm broke and I need to learn smh ( capitalism sucks ) 😩,it be good but it would be good if you make it for free because i be broke and i need to learn smh capitalism suck 😩,negative
1,"Many lessons are still locked even when I have Lifetime Pro Membership. And they can't be unlocked. ""Unlock"" button can't be pressed and it shouldn't be there for Pro Members. Also, any additional lessons like Harper, IELTS, Oxford, have to be additionally bought on top of the subscription. If I wanted to access the locked contents, ELSA support told me to ""create a new account and buy new premium membership."" LOL. Blatant scam.","many lesson be still lock even when i have lifetime pro membership. and they cannot be unlocked. ""unlock"" button cannot be press and it should not be there for pro members. also, any additional lesson like harper, ielts, oxford, have to be additionally buy on top of the subscription. if i want to access the lock contents, elsa support tell me to ""create a new account and buy new premium membership. "" lol. blatant scam.",negative
5,Rat or have a better way to do better in English,rat or have a good way to do good in english,neutral
5,As Mr. Tung said !!!,as mr. tung said!,neutral
5,really helpful. thanks,really helpful. thanks,positive
5,"This application is very good, I download this application from advertisements that offer","this application be very good, i download this application from advertisement that offer",positive
1,App increasingly slow. Read a sentence for a long time to respond.,app increasingly slow. read a sentence for a long time to respond.,negative
1,"""I wanted to take the app's trial, and it automatically charged me for a year. Then, I tried to cancel and get a refund, but it didn't qualify for a refund, and now I'm left without access to the app with the charge on my card.""","""i want to take the apps trial, and it automatically charge me for a year. then, i try to cancel and get a refund, but it do not qualify for a refund, and now i be leave without access to the app with the charge on my card. """,negative
1,said it free and asking to pay.,say it free and ask to pay.,neutral
3,I just started using the app. I think it's good.,i just start use the app. i think it be good.,positive
5,is a very expensive app,be a very expensive app,negative
4,it's more features is paid .so I didn't like,it be more feature be paid. so i do not like,negative
1,You have to pay until you learn. Thank you,you have to pay until you learn. thank you,neutral
1,"After used trial some days, I uninstalled this app, but it still auto payment 3 months, I don't know why.","after use trial some days, i uninstalled this app, but it still auto payment 3 months, i do not know why.",negative
5,its good but why is there no engsil,it be good but why be there no engsil,negative
3,That's amazing application,that be amazing application,positive
3,I downloaded Elsa but the error was not recorded: ((the notice software was not allowed to be recorded :(,i download elsa but the error be not record the notice software be not allow to be record,negative
5,nice evah,nice evah,positive
5,Like worry :))),like worry,negative
4,Learn app. This is okay but it costs a lot,learn app. this be okay but it cost a lot,negative
1,Bored VCL why not free,bore vcl why not free,neutral
5,Too standard,too standard,neutral
5,this app was good and made you spoke English will,this app be good and make you speak english will,positive
1,"There are two langueges shown belongs to India, but does not show a Gujarati language. The indian economy is stands just becaus of ""Gujarati"" guys and you igbored it???","there be two langueges show belongs to india, but do not show a gujarati language. the indian economy be stands just becaus of ""gujarati"" guy and you igbored it?",negative
1,Free DM 5 times/day r to catch more money,free dm 5 times/day r to catch more money,neutral
1,You Don't Need to Be More Greed If you want to Use this App First You to Have Pay Them Some 🤑,you do not need to be more greed if you want to use this app first you to have pay them some 🤑,neutral
5,Good app but it not free,good app but it not free,neutral
