level_0,index,content,score,clean_content,minimal_content,en_content,lang,lang_prob
35938,63961,,1,"The strange design interface, after finishing, has to go back and forth, do not keep the old state that takes time (where more than 100 parts have to find the sequel to study again ???). Use lag, every time you press a few words to see which sounds to fix, it will have to reset the app continuously to only learn 1 part, sometimes using it, then lose connection ??? Premium package that seems free, update but old error does not fix, don't know if there is test app before release","the strange design interface, after finishing, have to go back and forth, do not keep the old state that take time where more than 100 part have to find the sequel to study again? . use lag, every time you press a few word to see which sound to fix, it will have to reset the app continuously to only learn 1 part, sometimes use it, then lose connection? premium package that seem free, update but old error do not fix, do not know if there be test app before release","The strange design interface, after finishing, has to go back and forth, do not keep the old state that takes time (where more than 100 parts have to find the sequel to study again ???). Use lag, every time you press a few words to see which sounds to fix, it will have to reset the app continuously to only learn 1 part, sometimes using it, then lose connection ??? Premium package that seems free, update but old error does not fix, don't know if there is test app before release",en,0.9484146237373352
35939,63962,,1,"Whoever is deaf using the app at the same time the device is black, the screen reset the device will not open it again","whoever be deaf use the app at the same time the device be black, the screen reset the device will not open it again","Whoever is deaf using the app at the same time the device is black, the screen reset the device will not open it again",en,0.8122509717941284
35940,63963,,1,The app does not respond continuously extremely optimally extremely poorly,the app do not respond continuously extremely optimally extremely poorly,The app does not respond continuously extremely optimally extremely poorly,en,0.9326245784759521
35941,63964,,5,"Oh, oh, really the app is very good, can point out each advantage and disadvantage of yours, dot very well oke","oh, oh, really the app be very good, can point out each advantage and disadvantage of yours, dot very well oke","Oh, oh, really the app is very good, can point out each advantage and disadvantage of yours, dot very well oke",en,0.9683355689048767
35942,63965,,1,Too bad. Many improvements are not equal to the old version.,too bad. many improvement be not equal to the old version.,Too bad. Many improvements are not equal to the old version.,en,0.9236417412757874
35943,63966,,5,"or vcl, everyone :))) 😎","or vcl, everyone 😎","or vcl, everyone :))) 😎",en,0.7152499556541443
35944,63967,,5,Learning for children is Oki,learn for child be oki,Learning for children is Oki,en,0.778922438621521
35945,63974,,1,"Hope the app please return to the old version. For example, the Role Play part, please let the light bulb button available, whenever I need to suggest, I click and practice speaking, not waiting for a while to appear suggested as the current.","hope the app please return to the old version. for example, the role play part, please let the light bulb button available, whenever i need to suggest, i click and practice speaking, not wait for a while to appear suggest as the current.","Hope the app please return to the old version. For example, the Role Play part, please let the light bulb button available, whenever I need to suggest, I click and practice speaking, not waiting for a while to appear suggested as the current.",en,0.9129251837730408
35946,63975,,1,"bad experience. When I was studying, there was a call to escape for a while and when I was resetted, I lost all the information I was studying, nor did I record the time you had learned before.","bad experience. when i be studying, there be a call to escape for a while and when i be resetted, i lose all the information i be studying, nor do i record the time you have learn before.","bad experience. When I was studying, there was a call to escape for a while and when I was resetted, I lost all the information I was studying, nor did I record the time you had learned before.",en,0.8636656403541565
35947,63976,,1,"Extremely annoying, lag, difficult to use. I really hate and buy forever. Sincere advice you should try all trial to see if you buy it. Do not believe advertising. Hoc has not seen up but wants to increase brain hematuria","extremely annoying, lag, difficult to use. i really hate and buy forever. sincere advice you should try all trial to see if you buy it. do not believe advertising. hoc have not see up but want to increase brain hematuria","Extremely annoying, lag, difficult to use. I really hate and buy forever. Sincere advice you should try all trial to see if you buy it. Do not believe advertising. Hoc has not seen up but wants to increase brain hematuria",en,0.9722431302070618
35948,63977,,1,"Very disappointed! Application only for login up to 3 devices. I have completely logged out of old devices, but when logging into the new device, I still reported that ""it has exceeded the number of permitted devices"". This is extremely inconvenient, especially for users or changes in phones or computers. I paid the Premium package fee but was so unreasonable. Hope Elsa reviews this policy, otherwise it will make customers feel deceived.","very disappointed! application only for login up to 3 devices. i have completely log out of old devices, but when log into the new device, i still report that ""it have exceed the number of permitted devices"". this be extremely inconvenient, especially for user or change in phone or computers. i pay the premium package fee but be so unreasonable. hope elsa review this policy, otherwise it will make customer feel deceived.","Very disappointed! Application only for login up to 3 devices. I have completely logged out of old devices, but when logging into the new device, I still reported that ""it has exceeded the number of permitted devices"". This is extremely inconvenient, especially for users or changes in phones or computers. I paid the Premium package fee but was so unreasonable. Hope Elsa reviews this policy, otherwise it will make customers feel deceived.",en,0.9217054843902588
35949,63978,,1,"Not good, not as advertised as always, sometimes the mk network is stretched, but in the app is still in a lum, mk learning IELTS can see this app kke including learning to pronounce cx kke very much, mic recognition is extremely poor voice in general, the money is boring, the money has sound, the cx can evaluate it","not good, not as advertise as always, sometimes the mk network be stretched, but in the app be still in a lum, mk learn ielts can see this app kke include learn to pronounce cx kke very much, mic recognition be extremely poor voice in general, the money be boring, the money have sound, the cx can evaluate it","Not good, not as advertised as always, sometimes the mk network is stretched, but in the app is still in a lum, mk learning IELTS can see this app kke including learning to pronounce cx kke very much, mic recognition is extremely poor voice in general, the money is boring, the money has sound, the cx can evaluate it",en,0.953118622303009
35950,63979,,1,The app is like a virtual publisher,the app be like a virtual publisher,The app is like a virtual publisher,en,0.750565767288208
35951,63980,,1,I think it not good with me!,i think it not good with me!,I think it not good with me!,en,0.9959174394607544
35952,63981,,5,I Really Like The Way You Teach Me Almost Everything in English 🥰,i really like the way you teach me almost everything in english 🥰,I Really Like The Way You Teach Me Almost Everything in English 🥰,en,0.9479216933250427
35953,63983,,5,Great I Hope App Free,great i hope app free,Great I Hope App Free,en,0.719144344329834
35954,63985,,4,"Good pronunciation. Buttake Improve more native words from some county (like Pho, Flash FROM VIETNAM)","good pronunciation. buttake improve more native word from some county like pho, flash from vietnam","Good pronunciation. Buttake Improve more native words from some county (like Pho, Flash FROM VIETNAM)",en,0.8926720023155212
35955,63986,,5,Application of bilingual English learning or easy to understand,application of bilingual english learning or easy to understand,Application of bilingual English learning or easy to understand,en,0.8884317278862
35956,63987,,4,"This upgraded version is quite uncomfortable, firmly designed for the left -handed or very fast -handed man, when the ""Continue"" button is too big and the right hand is easily pressed by reflexes, leading to the new article quickly but not to practice again. Hope the interface design team soon repaired!","this upgraded version be quite uncomfortable, firmly design for the left -handed or very fast -handed man, when the ""continue"" button be too big and the right hand be easily press by reflexes, lead to the new article quickly but not to practice again. hope the interface design team soon repaired!","This upgraded version is quite uncomfortable, firmly designed for the left -handed or very fast -handed man, when the ""Continue"" button is too big and the right hand is easily pressed by reflexes, leading to the new article quickly but not to practice again. Hope the interface design team soon repaired!",en,0.9075782299041748
35957,63988,,3,Looking forward to more free turns 🥲,look forward to more free turn 🥲,Looking forward to more free turns 🥲,en,0.8998671174049377
35958,63989,,4,Like the older version,like the old version,Like the older version,en,0.88186115026474
35959,63990,,5,Please study hard,please study hard,Please study hard,en,0.8701403141021729
35961,63993,,1,"1. Mic recording is very uncomfortable, I have not finished speaking English, then it stops. 2. This new version recognizes the voice quite poorly, the application is quite jerky and sometimes stiff, 3. Read the throat it still tells it too small. Too much error. 4. The old version has a good translation AH, this upgrade version is very limited. Spending money to buy VIP package is very wasteful. Know how to pronounce from English and that sentence and finally learn to be boring. 5. The old version of Trc saw that the 4.8 -made upgrade was finished to 4.5.","1. mic recording be very uncomfortable, i have not finish speak english, then it stops. 2. this new version recognize the voice quite poorly, the application be quite jerky and sometimes stiff, 3. read the throat it still tell it too small. too much error. 4. the old version have a good translation ah, this upgrade version be very limited. spending money to buy vip package be very wasteful. know how to pronounce from english and that sentence and finally learn to be boring. 5. the old version of trc saw that the 4. 8 -made upgrade be finish to 4. 5.","1. Mic recording is very uncomfortable, I have not finished speaking English, then it stops. 2. This new version recognizes the voice quite poorly, the application is quite jerky and sometimes stiff, 3. Read the throat it still tells it too small. Too much error. 4. The old version has a good translation AH, this upgrade version is very limited. Spending money to buy VIP package is very wasteful. Know how to pronounce from English and that sentence and finally learn to be boring. 5. The old version of Trc saw that the 4.8 -made upgrade was finished to 4.5.",en,0.9557979106903076
35962,63994,,2,"I logged in with Facebook but why is the app constantly calling me to log in and when I pressed it, I was faulty?","i log in with facebook but why be the app constantly call me to log in and when i press it, i be faulty?","I logged in with Facebook but why is the app constantly calling me to log in and when I pressed it, I was faulty?",en,0.9243265986442566
35963,63995,,4,"Elsa is very helpful to me, helping me to pronounce better but there is more change than the previous day I used it, not as convenient as before","elsa be very helpful to me, help me to pronounce well but there be more change than the previous day i use it, not as convenient as before","Elsa is very helpful to me, helping me to pronounce better but there is more change than the previous day I used it, not as convenient as before",en,0.9751583337783813
35964,63996,,2,This time the Pro version has many UI errors. very annoying,this time the pro version have many ui errors. very annoy,This time the Pro version has many UI errors. very annoying,en,0.9529218077659607
35965,63997,,5,"The app is very good, interesting, especially improving pronunciation extremely effectively","the app be very good, interesting, especially improve pronunciation extremely effectively","The app is very good, interesting, especially improving pronunciation extremely effectively",en,0.8900910019874573
35966,63998,,2,Learning two lessons is two stars,learn two lesson be two star,Learning two lessons is two stars,en,0.8885642290115356
35967,64002,,3,There are things to have money to learn,there be thing to have money to learn,There are things to have money to learn,en,0.9775269627571106
35969,64006,,1,App automatically deduct money when the package is over. There is no notice. Parents for children to use must pay attention,app automatically deduct money when the package be over. there be no notice. parent for child to use must pay attention,App automatically deduct money when the package is over. There is no notice. Parents for children to use must pay attention,en,0.8523849248886108
35970,64007,,3,The app loses many useful features compared to the old version. The voice recognition is also more accurate than the old version. Overall should be improved.,the app lose many useful feature compare to the old version. the voice recognition be also more accurate than the old version. overall should be improved.,The app loses many useful features compared to the old version. The voice recognition is also more accurate than the old version. Overall should be improved.,en,0.9478017687797546
