index,content,score,clean_content,minimal_content,lang,lang_prob,en_content,star_sentiment,vader_sentiment,vader_score,roberta_sentiment,roberta_confidence,roberta_conf_neg,roberta_conf_neu,roberta_conf_pos
33831,,1,"The strange design interface, after finishing, has to go back and forth, do not keep the old state that takes time (where more than 100 parts have to find the sequel to study again ???). Use lag, every time you press a few words to see which sounds to fix, it will have to reset the app continuously to only learn 1 part, sometimes using it, then lose connection ??? Premium package that seems free, update but old error does not fix, don't know if there is test app before release","the strange design interface, after finishing, have to go back and forth, do not keep the old state that take time where more than 100 part have to find the sequel to study again? . use lag, every time you press a few word to see which sound to fix, it will have to reset the app continuously to only learn 1 part, sometimes use it, then lose connection? premium package that seem free, update but old error do not fix, do not know if there be test app before release",en,0.9484146237373352,"The strange design interface, after finishing, has to go back and forth, do not keep the old state that takes time (where more than 100 parts have to find the sequel to study again ???). Use lag, every time you press a few words to see which sounds to fix, it will have to reset the app continuously to only learn 1 part, sometimes using it, then lose connection ??? Premium package that seems free, update but old error does not fix, don't know if there is test app before release",negative,negative,-0.6917,negative,0.74630463,0.74630463,0.2398696,0.013825847
33832,,1,"Whoever is deaf using the app at the same time the device is black, the screen reset the device will not open it again","whoever be deaf use the app at the same time the device be black, the screen reset the device will not open it again",en,0.8122509717941284,"Whoever is deaf using the app at the same time the device is black, the screen reset the device will not open it again",negative,neutral,0.0,neutral,0.5987863,0.36066532,0.5987863,0.040548377
33833,,1,The app does not respond continuously extremely optimally extremely poorly,the app do not respond continuously extremely optimally extremely poorly,en,0.932624578475952,The app does not respond continuously extremely optimally extremely poorly,negative,positive,0.3804,negative,0.94196045,0.94196045,0.051862933,0.006176655
33834,,5,"Oh, oh, really the app is very good, can point out each advantage and disadvantage of yours, dot very well oke","oh, oh, really the app be very good, can point out each advantage and disadvantage of yours, dot very well oke",en,0.9683355689048768,"Oh, oh, really the app is very good, can point out each advantage and disadvantage of yours, dot very well oke",positive,positive,0.584,positive,0.9498,0.008457595,0.04174236,0.9498
33835,,1,Too bad. Many improvements are not equal to the old version.,too bad. many improvement be not equal to the old version.,en,0.9236417412757874,Too bad. Many improvements are not equal to the old version.,negative,neutral,-0.128,negative,0.849723,0.849723,0.13772961,0.012547352
33836,,5,"or vcl, everyone :))) 😎","or vcl, everyone 😎",en,0.7152499556541443,"or vcl, everyone :))) 😎",positive,neutral,0.0,neutral,0.39643723,0.0063088923,0.39643723,0.5972538
33837,,5,Learning for children is Oki,learn for child be oki,en,0.778922438621521,Learning for children is Oki,positive,neutral,0.0,neutral,0.7222876,0.11774973,0.7222876,0.15996264
33838,,1,"Hope the app please return to the old version. For example, the Role Play part, please let the light bulb button available, whenever I need to suggest, I click and practice speaking, not waiting for a while to appear suggested as the current.","hope the app please return to the old version. for example, the role play part, please let the light bulb button available, whenever i need to suggest, i click and practice speaking, not wait for a while to appear suggest as the current.",en,0.9129251837730408,"Hope the app please return to the old version. For example, the Role Play part, please let the light bulb button available, whenever I need to suggest, I click and practice speaking, not waiting for a while to appear suggested as the current.",negative,positive,0.836,neutral,0.52453333,0.044778083,0.52453333,0.43068862
33839,,1,"bad experience. When I was studying, there was a call to escape for a while and when I was resetted, I lost all the information I was studying, nor did I record the time you had learned before.","bad experience. when i be studying, there be a call to escape for a while and when i be resetted, i lose all the information i be studying, nor do i record the time you have learn before.",en,0.8636656403541565,"bad experience. When I was studying, there was a call to escape for a while and when I was resetted, I lost all the information I was studying, nor did I record the time you had learned before.",negative,negative,-0.6705,negative,0.84504175,0.84504175,0.1457702,0.0091880495
33840,,1,"Extremely annoying, lag, difficult to use. I really hate and buy forever. Sincere advice you should try all trial to see if you buy it. Do not believe advertising. Hoc has not seen up but wants to increase brain hematuria","extremely annoying, lag, difficult to use. i really hate and buy forever. sincere advice you should try all trial to see if you buy it. do not believe advertising. hoc have not see up but want to increase brain hematuria",en,0.9722431302070618,"Extremely annoying, lag, difficult to use. I really hate and buy forever. Sincere advice you should try all trial to see if you buy it. Do not believe advertising. Hoc has not seen up but wants to increase brain hematuria",negative,negative,-0.2415,negative,0.9413806,0.9413806,0.051313117,0.0073062475
