score,clean_content,minimal_content,roberta_sentiment,sentiment,sentiment_bi
5,In a madman,in a madman,neutral,1,1
1,"I want my money back!I received dozens of emails from you with discounts and responded to one of them. Then, I cancelled my subscription on my subscription renewal day and still got charged. I don't use this app anymore, and my refund issue was dealt with for almost 3 months, and still, the money was charged to my go account. £19.99 a month! Don't you think that's a bit much?","i want my money back! i receive dozen of email from you with discount and respond to one of them. then, i cancel my subscription on my subscription renewal day and still get charged. i do not use this app anymore, and my refund issue be deal with for almost 3 months, and still, the money be charge to my go account. £19. 99 a month! do not you think that be a bit much?",negative,0,0
5,Application for Vietnam. VTV6,application for vietnam. vtv6,neutral,1,1
5,Good app. Help me Improved Skill English,good app. help me improved skill english,positive,2,1
5,"This was created by EVAAI(Ex-Journey) and Luke Locust Jr, it has full Pi Logic language processing","this be create by evaai ex-journey and luke locust jr, it have full pi logic language processing",neutral,1,1
4,using the battery is not strong,use the battery be not strong,negative,0,0
5,"I am a person who is less English but when I use the app, I can","i be a person who be less english but when i use the app, i can",neutral,1,1
5,"We learn to need instead of emptiness for me, we are in it","we learn to need instead of emptiness for me, we be in it",neutral,1,1
5,enjoyable,enjoyable,positive,2,1
1,"App too lag, loading everything is slow, saying a sentence that waits too long, is interested in learning and opening the app to look so frustrated. Dev team or someone feel please improve the performance","app too lag, load everything be slow, say a sentence that wait too long, be interested in learn and open the app to look so frustrated. dev team or someone feel please improve the performance",negative,0,0
5,I want to go to Australia but I did not expect to learn this to make me better,i want to go to australia but i do not expect to learn this to make me good,negative,0,0
1,very nice app i like it,very nice app i like it,positive,2,1
5,"This application is very good, this application can help me in learning English and knowing the intonation in speaking english, in this application you can see our level in English, I highly recommend you use this application.","this application be very good, this application can help me in learn english and know the intonation in speak english, in this application you can see our level in english, i highly recommend you use this application.",positive,2,1
5,Deficient and educational application for the farthest limits,deficient and educational application for the farthest limit,neutral,1,1
5,Update many exercises to gradually fit and avoid boredom.,update many exercise to gradually fit and avoid boredom.,neutral,1,1
3,There is lag phenomenon,there be lag phenomenon,neutral,1,1
5,I am 94.5% native speaker,i be 94. 5% native speaker,neutral,1,1
5,This one is very complementary,this one be very complementary,neutral,1,1
1,Even 1 star,even 1 star,neutral,1,1
1,"Unfortunately, the mistakes are allowed to make mistakes. I tried to pronounce the word other than what it is and gives me a sign that it is correct. I was disappointed personally.","unfortunately, the mistake be allow to make mistakes. i try to pronounce the word other than what it be and give me a sign that it be correct. i be disappointed personally.",negative,0,0
5,very interactive and funny app I really recommend Elsa,very interactive and funny app i really recommend elsa,positive,2,1
1,Deducted 2 times. 1 time when buying app 3 months deducted. After 3 months of automatically except again ??? But the app cannot open and exit the account out. Calling Elsa could not work with the bank.,deduct 2 times. 1 time when buy app 3 month deducted. after 3 month of automatically except again? but the app cannot open and exit the account out. call elsa could not work with the bank.,negative,0,0
1,The application is nothing.,the application be nothing.,neutral,1,1
4,"I could not choose to pronounce each of one of the sentences, this is very inconvenient, hope ad can correct it","i could not choose to pronounce each of one of the sentences, this be very inconvenient, hope ad can correct it",negative,0,0
1,"Always ""Failed to calculation score"".","always ""failed to calculation score"".",negative,0,0
5,for student is good,for student be good,neutral,1,1
4,"I'm learning English and this is a really helpful app, a really must have","i be learn english and this be a really helpful app, a really must have",positive,2,1
